State,Year,Stn-Comm-CO2,Stn-Comm-CH4,Stn-Comm-N2O,Stn-Elec-CO2,Stn-Elec-CH4,Stn-Elec-N2O,Stn-Coke-CO2,Stn-Coke-CH4,Stn-Coke-N2O,Stn-Indu-CO2,Stn-Indu-CH4,Stn-Indu-N2O,Stn-Petr-CO2,Stn-Petr-CH4,Stn-Petr-N2O,Stn-NatG-CO2,Stn-NatG-CH4,Stn-NatG-N2O,Stn-TOT-CO2,Stn-TOT-CH4,Stn-TOT-N2O,Mob-MGas-CO2,Mob-MGas-CH4,Mob-MGas-N2O,Mob-AGas-CO2,Mob-AGas-CH4,Mob-AGas-N2O,Mob-JetK-CO2,Mob-JetK-CH4,Mob-JetK-N2O,Mob-DslO-CO2,Mob-DslO-CH4,Mob-DslO-N2O,Mob-RFO-CO2,Mob-RFO-CH4,Mob-RFO-N2O,Mob-LPG-CO2,Mob-LPG-CH4,Mob-LPG-N2O,Mob-TOT-CO2,Mob-TOT-CH4,Mob-TOT-N2O,PtS-all-CO2,PtS-all-CH4,NGS-all-CO2,NGS-all-CH4,ClM-SurM-CH4,ClM-UngM-CH4,ClM-AbnM-CH4,ClM-TOT-CH4,Dom-TOT-CO2,Dom-TOT-CH4,Dom-TOT-N2O,Exp-TOT-CO2,Exp-TOT-CH4,Exp-TOT-N2O,All-TOT-CO2,All-TOT-CH4,All-TOT-N2O,Bio-TOT-CO2,NET-TOT-CO2
Alaska,2005,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.00028,0.00068,2.2,0.001,0.0012,2.5,0.0013,0.0019,0.685,0.0013,0.0173,0.002,-,-,0.16,-,-,0.298,-,0.0002,0.019,-,-,0.00031,-,-,1.2,0.0013,0.018,0.00034,0.0042,0.0016,0.0094,0,0,0,0,3.7,0.016,0.019,0.2,0.00014,0.00057,3.9,0.016,0.02,-18,-14.1
Alaska,2006,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.00022,0.00053,2,0.00097,0.0011,2.2,0.0012,0.0016,0.576,0.00097,0.0136,0.001,-,-,0.13,-,-,0.261,-,0.0002,0.021,-,-,0.00029,-,-,0.99,0.00097,0.014,0.000077,0.0034,0.0016,0.0094,0,0,0,0,3.2,0.015,0.015,0.18,0.00011,0.00048,3.4,0.015,0.016,-18,-14.6
Alaska,2007,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.00016,0.00039,1.9,0.0009,0.001,2.1,0.0011,0.0014,0.424,0.00067,0.00858,0.001,-,-,0.093,-,-,0.196,-,0.0001,0.016,-,-,0.00018,-,-,0.73,0.00067,0.0087,0.000075,0.0034,0.0016,0.0093,0,0,0,0,2.8,0.014,0.01,0.16,0.000096,0.00034,3,0.015,0.01,-18,-15
Alaska,2008,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.00019,0.00045,1.9,0.00088,0.001,2.1,0.0011,0.0015,0.479,0.00073,0.00932,0.001,-,-,0.11,-,-,0.218,-,0.0001,0.015,-,-,0.0004,-,-,0.82,0.00073,0.0094,0.000071,0.0033,0.0017,0.0096,0,0,0,0,2.9,0.015,0.011,0.21,0.00012,0.00046,3.1,0.015,0.011,-18,-14.9
Alaska,2009,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.00012,0.00028,1.5,0.0007,0.00081,1.6,0.00082,0.0011,0.321,0.00047,0.00595,0.0007,-,-,0.069,-,-,0.138,-,0.0001,0.0074,-,-,0.00012,-,-,0.54,0.00047,0.0061,0.000095,0.0045,0.0017,0.0088,0,0,0,0,2.2,0.015,0.0071,0.17,0.000092,0.00033,2.3,0.015,0.0075,-18,-15.7
Alaska,2010,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.000099,0.00024,1.2,0.00056,0.00065,1.3,0.00066,0.00089,0.244,0.00038,0.0043,0.0006,-,-,0.054,-,-,0.109,-,0.0001,0.0061,-,-,0.00013,-,-,0.41,0.00038,0.0044,0.00043,0.0055,0.0017,0.0088,0,0,0,0,1.7,0.015,0.0053,0.14,0.000082,0.00032,1.9,0.015,0.0056,-18,-16.1
Alaska,2011,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.000076,0.00018,0.81,0.00038,0.00044,0.89,0.00046,0.00062,0.203,0.0003,0.00342,0.0005,-,-,0.047,-,-,0.0953,-,0.00009,0.0032,-,-,0.00011,-,-,0.35,0.0003,0.0035,0.00041,0.0055,0.0019,0.0086,0,0,0,0,1.2,0.015,0.0041,0.14,0.00008,0.00036,1.4,0.015,0.0045,-18,-16.6
Alaska,2012,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.000055,0.00013,0.8,0.00038,0.00044,0.86,0.00044,0.00057,0.149,0.00021,0.0022,0.0003,-,-,0.034,-,-,0.0667,-,0.00006,0.0025,-,-,0.000089,-,-,0.25,0.00021,0.0023,0.00036,0.0054,0.0019,0.0089,0,0,0,0,1.1,0.015,0.0028,0.12,0.000064,0.00025,1.2,0.015,0.0031,-18,-16.8
Alaska,2013,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.000088,0.00021,0.69,0.00033,0.00038,0.78,0.00042,0.00059,0.245,0.00034,0.00317,0.0006,-,-,0.054,-,-,0.109,-,0.0001,0.0038,-,-,0.00015,-,-,0.41,0.00034,0.0033,0.00033,0.0058,0.0021,0.0098,0,0,0,0,1.2,0.016,0.0039,0.15,0.000083,0.00036,1.3,0.016,0.0042,-18,-16.7
Alaska,2014,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.000088,0.00021,0.87,0.00041,0.00048,0.96,0.0005,0.00069,0.24,0.00031,0.00268,0.0006,-,-,0.054,-,-,0.11,-,0.0001,0.0024,-,-,0.00015,-,-,0.41,0.00031,0.0028,0.00027,0.005,0.0027,0.011,0,0,0,0,1.4,0.017,0.0035,0.16,0.000088,0.00036,1.5,0.017,0.0038,-18,-16.5
Arizona,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.8,-28.8
Arizona,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9
Arizona,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,24.3
Arizona,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.6,-8.6
Arizona,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.6,-15.6
Arizona,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,14.8
Arizona,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,14.4
Arizona,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2,-13.2
Arizona,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5
Arkansas,2005,0,0,0,0,0,0,0,0,0,0,0,0,0.0000021,2.10E-09,4.90E-09,0.46,0.00022,0.00025,0.46,0.00022,0.00025,0.00000501,9.30E-09,0.000000127,0.00000001,-,-,0.0000012,-,-,0.00000218,-,0.000000001,0.00000014,-,-,2.30E-09,-,-,0.0000085,9.30E-09,0.00000013,0.0000081,0.0001,0.0072,0.043,0,0,0,0,0.47,0.043,0.00025,0.019,0.0000092,0.000011,0.49,0.043,0.00026,1.1,1.6
Arkansas,2006,0,0,0,0,0,0,0,0,0,0,0,0,0.0000015,1.40E-09,3.40E-09,0.52,0.00024,0.00028,0.52,0.00024,0.00028,0.00000364,6.10E-09,8.59E-08,0.000000008,-,-,0.00000081,-,-,0.00000165,-,0.000000001,0.00000013,-,-,1.80E-09,-,-,0.0000062,6.10E-09,0.000000087,0.0000019,0.000084,0.0077,0.046,0,0,0,0,0.53,0.046,0.00028,0.021,0.00001,0.000012,0.55,0.046,0.00029,0.7,1.2
Arkansas,2007,0,0,0,0,0,0,0,0,0,0,0,0,0.0000013,1.20E-09,0.000000003,0.51,0.00024,0.00028,0.51,0.00024,0.00028,0.00000324,5.10E-09,6.55E-08,0.000000007,-,-,0.00000071,-,-,0.00000149,-,0.000000001,0.00000012,-,-,1.40E-09,-,-,0.0000056,5.10E-09,0.000000067,0.0000019,0.000085,0.0094,0.055,0,0,0,0,0.52,0.055,0.00028,0.023,0.000011,0.000013,0.54,0.055,0.00029,-1.4,-0.9
Arkansas,2008,0,0,0,0,0,0,0,0,0,0,0,0,0.00000049,4.60E-10,1.10E-09,0.62,0.00029,0.00034,0.62,0.00029,0.00034,0.0000012,1.80E-09,2.33E-08,0.000000003,-,-,0.00000029,-,-,0.000000545,-,5.00E-10,0.000000039,-,-,9.80E-10,-,-,0.0000021,1.80E-09,0.000000024,0.0000018,0.000081,0.011,0.06,0,0,0,0,0.63,0.06,0.00034,0.031,0.000015,0.000017,0.66,0.06,0.00036,-5.7,-5
Arkansas,2009,0,0,0,0,0,0,0,0,0,0,0,0,0.00000036,3.40E-10,8.20E-10,0.91,0.00043,0.0005,0.91,0.00043,0.0005,0.000000874,1.20E-09,1.62E-08,0.000000002,-,-,0.00000019,-,-,0.000000364,-,4.00E-10,0.000000013,-,-,3.40E-10,-,-,0.0000014,1.20E-09,0.000000017,0.0000018,0.000084,0.011,0.064,0,0,0,0,0.92,0.065,0.0005,0.051,0.000025,0.000028,0.97,0.065,0.00053,-5.2,-4.2
Arkansas,2010,0,0,0,0,0,0,0,0,0,0,0,0,0.00000014,1.40E-10,3.30E-10,0.96,0.00046,0.00053,0.96,0.00046,0.00053,0.000000338,5.30E-10,5.94E-09,8.00E-10,-,-,0.000000075,-,-,0.000000151,-,1.00E-10,8.40E-09,-,-,1.80E-10,-,-,0.00000057,5.30E-10,0.000000006,0.000008,0.0001,0.013,0.071,0,0,0,0,0.97,0.072,0.00053,0.054,0.000026,0.00003,1,0.072,0.00056,-0.1,0.9
Arkansas,2011,0,0,0,0,0,0,0,0,0,0,0,0,0.00000012,1.10E-10,2.70E-10,0.9,0.00042,0.00049,0.9,0.00042,0.00049,0.000000296,4.40E-10,4.99E-09,7.00E-10,-,-,0.000000068,-,-,0.000000139,-,1.00E-10,4.70E-09,-,-,1.70E-10,-,-,0.00000051,4.40E-10,5.10E-09,0.0000077,0.00011,0.016,0.078,0,0,0,0,0.92,0.079,0.00049,0.063,0.00003,0.000035,0.98,0.079,0.00052,-2.2,-1.2
Arkansas,2012,0,0,0,0,0,0,0,0,0,0,0,0,0.00000013,1.30E-10,3.10E-10,0.78,0.00037,0.00042,0.78,0.00037,0.00042,0.000000345,4.90E-10,5.08E-09,8.00E-10,-,-,0.000000078,-,-,0.000000154,-,1.00E-10,5.80E-09,-,-,2.10E-10,-,-,0.00000058,4.90E-10,5.20E-09,0.0000069,0.00011,0.017,0.084,0,0,0,0,0.8,0.084,0.00042,0.056,0.000027,0.000031,0.85,0.085,0.00045,-1.8,-0.9
Arkansas,2013,0,0,0,0,0,0,0,0,0,0,0,0,0.000000079,7.50E-11,1.80E-10,0.69,0.00032,0.00038,0.69,0.00032,0.00038,0.000000208,2.90E-10,2.69E-09,5.00E-10,-,-,0.000000046,-,-,9.23E-08,-,9.00E-11,3.20E-09,-,-,1.20E-10,-,-,0.00000035,2.90E-10,2.80E-09,0.0000064,0.00011,0.02,0.091,0,0,0,0,0.71,0.091,0.00038,0.048,0.000023,0.000026,0.76,0.091,0.00041,-3.8,-3
Arkansas,2014,0,0,0,0,0,0,0,0,0,0,0,0,0.000000058,5.50E-11,1.30E-10,0.77,0.00036,0.00042,0.77,0.00036,0.00042,0.000000151,1.90E-10,1.68E-09,4.00E-10,-,-,0.000000034,-,-,6.88E-08,-,6.00E-11,1.50E-09,-,-,9.40E-11,-,-,0.00000026,1.90E-10,1.70E-09,0.000006,0.00011,0.023,0.095,0,0,0,0,0.79,0.095,0.00042,0.048,0.000023,0.000027,0.84,0.095,0.00045,-6.1,-5.3
California,2005,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0023,0.0054,2.6,0.0012,0.0014,5,0.0035,0.0068,5.5,0.01,0.139,0.01,-,-,1.3,-,-,2.39,-,0.002,0.15,-,-,0.0025,-,-,9.4,0.01,0.14,0.033,0.41,0.0029,0.017,0,0,0,0,14.4,0.44,0.15,0.96,0.00079,0.0042,15.4,0.44,0.15,-98.2,-82.8
California,2006,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0021,0.005,2.5,0.0012,0.0014,4.7,0.0033,0.0064,5.35,0.009,0.127,0.01,-,-,1.2,-,-,2.43,-,0.002,0.2,-,-,0.0027,-,-,9.2,0.009,0.13,0.0079,0.36,0.0029,0.018,0,0,0,0,13.9,0.39,0.14,1,0.00073,0.0041,14.9,0.39,0.14,8,22.9
California,2007,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0019,0.0047,2.3,0.0011,0.0013,4.3,0.003,0.006,5.01,0.008,0.102,0.01,-,-,1.1,-,-,2.3,-,0.001,0.18,-,-,0.0021,-,-,8.6,0.008,0.1,0.0081,0.37,0.0031,0.018,0,0,0,0,12.9,0.4,0.11,1,0.00071,0.0035,14,0.4,0.11,41.4,55.4
California,2008,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0019,0.0045,2.1,0.00098,0.0011,4.1,0.0029,0.0056,4.81,0.0074,0.0936,0.01,-,-,1.1,-,-,2.19,-,0.001,0.15,-,-,0.004,-,-,8.3,0.0074,0.095,0.0079,0.36,0.0032,0.018,0,0,0,0,12.4,0.39,0.1,1.3,0.0008,0.0041,13.7,0.39,0.1,21.2,34.9
California,2009,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0019,0.0046,2,0.00092,0.0011,4,0.0028,0.0057,4.9,0.0072,0.0908,0.01,-,-,1.1,-,-,2.04,-,0.003,0.067,-,-,0.0019,-,-,8.1,0.0072,0.094,0.0082,0.38,0.0032,0.017,0,0,0,0,12.1,0.41,0.1,1.5,0.001,0.0048,13.6,0.41,0.1,-36.4,-22.8
California,2010,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0019,0.0047,1.9,0.00091,0.0011,3.9,0.0028,0.0058,4.75,0.0074,0.0835,0.01,-,-,1.1,-,-,2.12,-,0.002,0.12,-,-,0.0025,-,-,8.1,0.0074,0.086,0.034,0.44,0.003,0.016,0,0,0,0,12,0.47,0.091,1.6,0.001,0.0056,13.7,0.47,0.097,-82.7,-69
California,2011,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.0017,0.0041,2,0.00093,0.0011,3.8,0.0026,0.0052,4.51,0.0068,0.076,0.01,-,-,1,-,-,2.12,-,0.002,0.072,-,-,0.0025,-,-,7.7,0.0068,0.078,0.034,0.45,0.0084,0.039,0,0,0,0,11.6,0.5,0.083,1.9,0.0012,0.0074,13.5,0.5,0.091,-37.5,-24
California,2012,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.0016,0.0038,1.5,0.00073,0.00085,3.2,0.0023,0.0047,4.33,0.0061,0.0638,0.01,-,-,0.98,-,-,1.94,-,0.002,0.073,-,-,0.0026,-,-,7.3,0.0061,0.066,0.03,0.45,0.0086,0.042,0,0,0,0,10.6,0.5,0.07,1.8,0.0011,0.0063,12.4,0.5,0.077,22.8,35.2
California,2013,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.0016,0.0039,1.5,0.00071,0.00082,3.2,0.0023,0.0047,4.53,0.0064,0.0587,0.01,-,-,1,-,-,2.01,-,0.002,0.07,-,-,0.0027,-,-,7.6,0.0064,0.061,0.027,0.48,0.0091,0.041,0,0,0,0,10.9,0.53,0.065,2,0.0012,0.0063,12.9,0.53,0.072,0.5,13.4
California,2014,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.0016,0.0039,1.6,0.00074,0.00086,3.3,0.0023,0.0048,4.43,0.0057,0.0494,0.01,-,-,0.99,-,-,2.02,-,0.002,0.045,-,-,0.0028,-,-,7.5,0.0057,0.051,0.029,0.55,0.01,0.042,0,0,0,0,10.8,0.6,0.056,2,0.0012,0.0061,12.8,0.6,0.062,15.8,28.6
Colorado,2005,0.1984,0.000578,0.001,38.01,0.109,0.19,0,0,0,1.7,0.0049,0.0085,0.27,0.00026,0.00062,12,0.0055,0.0063,52.2,0.12,0.21,0.63,0.0012,0.0159,0.001,-,-,0.15,-,-,0.274,-,0.0002,0.017,-,-,0.00028,-,-,1.1,0.0012,0.016,0.0013,0.017,0.22,1.3,0.23,5.63,1.1,7,53.5,8.4,0.22,1.4,0.0028,0.005,54.8,8.4,0.23,-25.5,29.3
Colorado,2006,0.09971,0.000291,0.0005,37.84,0.109,0.19,0,0,0,1.8,0.0051,0.0089,0.25,0.00024,0.00059,13,0.006,0.007,53,0.12,0.21,0.631,0.001,0.0149,0.001,-,-,0.14,-,-,0.286,-,0.0002,0.023,-,-,0.00031,-,-,1.1,0.001,0.015,0.00032,0.014,0.19,1.2,0.23,5.69,1,6.9,54.3,8.3,0.22,0.87,0.0011,0.0021,55.1,8.3,0.22,-20.7,34.4
Colorado,2007,0.02254,0.0000657,0.00011,37.76,0.109,0.19,0,0,0,1.4,0.0041,0.0072,0.25,0.00024,0.00058,13,0.0063,0.0073,52.4,0.12,0.21,0.629,0.001,0.0128,0.001,-,-,0.14,-,-,0.289,-,0.0003,0.023,-,-,0.00026,-,-,1.1,0.001,0.013,0.00034,0.016,0.2,1.2,0.21,5.74,0.97,6.9,53.7,8.3,0.22,1.1,0.0015,0.0028,54.8,8.3,0.22,-22,32.8
Colorado,2008,0.3752,0.00109,0.0019,35.59,0.102,0.18,0,0,0,1.4,0.0039,0.0069,0.25,0.00024,0.00057,15,0.0073,0.0084,52.6,0.11,0.2,0.611,0.00094,0.0119,0.001,-,-,0.14,-,-,0.279,-,0.0003,0.021,-,-,0.0005,-,-,1.1,0.00094,0.012,0.00037,0.017,0.22,1.2,0.19,5.75,0.92,6.9,53.9,8.2,0.21,1.9,0.0035,0.0063,55.8,8.2,0.22,-3,52.8
Colorado,2009,0.427,0.00124,0.0021,30.84,0.0887,0.16,0,0,0,0.71,0.0021,0.0036,0.23,0.00022,0.00052,16,0.0074,0.0086,48.2,0.1,0.17,0.597,0.00087,0.0111,0.001,-,-,0.13,-,-,0.257,-,0.0003,0.014,-,-,0.00023,-,-,1,0.00087,0.011,0.00062,0.03,0.23,1.2,0.14,6.36,0.89,7.4,49.4,8.7,0.19,2.1,0.0038,0.0069,51.6,8.7,0.19,-14.5,37.1
Colorado,2010,0.4249,0.00124,0.0021,28.97,0.0834,0.15,0,0,0,0.99,0.0029,0.005,0.24,0.00023,0.00056,17,0.0079,0.0092,47.6,0.096,0.17,0.569,0.00088,0.00999,0.001,-,-,0.13,-,-,0.254,-,0.0002,0.014,-,-,0.00029,-,-,0.97,0.00088,0.01,0.0031,0.04,0.24,1.2,0.13,7.63,0.86,8.6,48.8,10,0.18,4.2,0.0099,0.018,53,10,0.19,-0.9,52.1
Colorado,2011,0.231,0.000673,0.0012,29.53,0.085,0.15,0.003,0.00001,0.00002,1,0.003,0.0053,0.23,0.00022,0.00053,18,0.0085,0.0098,49,0.097,0.17,0.584,0.00087,0.00983,0.001,-,-,0.13,-,-,0.274,-,0.0003,0.0093,-,-,0.00033,-,-,1,0.00087,0.01,0.0036,0.047,0.38,1.9,0.15,7.58,0.83,8.6,50.4,10.6,0.18,5,0.011,0.02,55.4,10.6,0.2,-12.2,43.2
